red,green,blue,black,yellow,no match,skin_type,initial_price,curr_price,days_since_release
0,17790,28,111455,327,0,Bandana Mask,1.88,0.07,1743
0,10067,30,119503,0,0,Beenie Hat,1.25,0.07,1779
1,39682,26,85511,4380,0,Baseball Cap,1.55,0.06,1772
6,36078,40,88828,4648,0,Longsleeve T-Shirt,2.49,1.2,1751
134,11768,45,116512,1141,0,Assault Rifle,1.99,2.51,707
0,25140,46,103919,495,0,Hoodie,1.31,0.07,1779
9,11020,39,117860,672,0,Jacket,0.82,0.06,1786
629,21487,23,107083,378,0,Sheet Metal Double Door,1.49,1.92,203
1,28789,35,97853,2922,0,Shirt,2.91,1.64,1281
5,13561,30,110173,5831,0,Bucket Helmet,1.05,1.83,1106
1,13378,26,116119,76,0,Baseball Cap,4.06,0.06,1772
2146,48402,25,74533,4494,0,Sheet Metal Door,1.53,2.33,1072
1,48719,38,75732,5110,0,Longsleeve T-Shirt,0.47,0.07,1786
389,13906,45,112873,2387,0,Hide Poncho,2.43,21.31,1287
783,24674,39,102534,1570,0,Sheet Metal Door,1.32,2.01,827
687,52475,28,73117,3293,0,Locker,10.62,3.84,1183
665,9303,519,112326,6787,0,Salvaged Sword,1.99,1.18,665
72,17840,26,110991,671,0,Sheet Metal Door,1.49,1.59,321
9027,10194,55,103382,6942,0,Sheet Metal Door,1.49,1.61,105
124,9110,43,119427,896,0,M249,1.99,1.39,413
119,37530,46,84605,7300,0,Large Wood Box,3.49,0.16,1548
3337,22441,257,95621,7944,0,Garage Door,1.49,2.14,448
4930,23489,30,94839,6312,0,Beenie Hat,4.93,1.46,1286
30,7647,56,121046,821,0,Semi-Automatic Rifle,1.99,2.75,1023
3,11934,83,115852,1728,0,Crossbow,1.99,1.64,932
2,15794,45,102637,11122,0,Eoka Pistol,3.42,7.03,946
3,27408,45,101577,567,0,T-Shirt,2.49,1.29,1751
401,7421,76,121525,177,0,Custom SMG,3.01,3.62,1142
10682,8656,43,109834,385,0,Semi-Automatic Pistol,4.91,24.0,1681
1729,28241,26,96985,2619,0,Sheet Metal Door,1.49,4.1,946
795,26595,66,98665,3479,0,Revolver,4.89,2.77,1267
496,13265,1713,109050,5076,0,Double Barrel Shotgun,1.99,2.21,294
6718,19064,6866,80354,16598,0,Sheet Metal Door,1.49,1.48,50
662,15539,35,110814,2550,0,Riot Helmet,3.9,4.69,1155
442,10719,32,116210,2197,0,Hatchet,1.99,1.32,841
123,14553,83,112928,1913,0,Crossbow,1.99,1.47,827
7328,17974,53,89010,15235,0,Road Sign Kilt,4.99,2.12,1308
4061,21099,47,77707,26686,0,Large Wood Box,1.49,3.41,1023
3,15001,32,112914,1650,0,Hatchet,1.99,1.59,713
7,37445,26,91909,213,0,Sheet Metal Door,3.49,1.91,1219
0,11288,48,116035,2229,0,Boots,4.99,8.7,1701
0,7557,38,121519,486,0,Pickaxe,1.99,1.46,713
4916,17435,40,88893,18316,0,Road Sign Jacket,4.99,1.02,1303
423,6018,54,121044,2061,0,Semi-Automatic Rifle,2.32,3.97,1188
20,10421,84,115489,3586,0,Crossbow,14.14,1.9,1281
65,24352,46,102375,2762,0,Metal Chest Plate,4.16,1.51,1254
89,14814,38,111657,3002,0,Pump Shotgun,1.64,2.26,966
136,10490,83,112110,6781,0,Crossbow,1.99,1.75,659
725,10968,160,101852,15895,0,Hammer,1.99,1.82,469
2127,6348,107,116436,4582,0,Assault Rifle,1.99,1.28,105
1273,18237,34,90872,19184,0,Furnace,1.49,2.09,469
1075,6878,45,119721,1881,0,Double Barrel Shotgun,4.86,17.07,1218
73,19199,74,100392,9862,0,Coffee Can Helmet,0.99,2.57,736
92,28481,56,96805,4166,0,Road Sign Kilt,0.99,4.62,736
240,25714,31,96202,7413,0,Road Sign Jacket,0.99,2.35,736
7328,15228,57,106589,398,0,Road Sign Kilt,0.99,2.73,960
4257,19652,43,103336,2312,0,Road Sign Jacket,1.55,1.31,959
13,26047,39,98419,5082,0,Metal Facemask,0.99,1.06,680
2431,19849,46,96090,11184,0,Coffee Can Helmet,0.99,0.67,301
11279,17387,54,94309,6571,0,Road Sign Kilt,0.99,1.13,301
2876,14237,44,98415,14028,0,Road Sign Jacket,0.99,0.77,301
851,9891,102,114933,3823,0,Salvaged Sword,1.99,1.14,266
11654,5652,34,103024,9236,0,Furnace,1.99,2.9,224
4,28258,23,101139,176,0,Armored Double Door,1.49,3.38,238
5954,4504,44,113634,5464,0,Assault Rifle,2.99,1.73,512
2331,21113,29,103526,2601,0,Wooden Door,1.49,4.52,581
762,20645,87,106100,2006,0,Armored Door,1.49,7.18,622
452,5344,779,122861,164,0,Semi-Automatic Rifle,1.99,5.66,960
848,3501,32,123307,1912,0,Furnace,1.49,6.25,707
88,2587,28,126886,11,0,Armored Door,1.49,7.93,736
460,7619,30,117753,3738,0,Double Barrel Shotgun,3.2,4.21,869
4,17024,50,107799,4723,0,Python Revolver,1.99,4.22,707
0,7464,65,120018,2053,0,Semi-Automatic Rifle,1.99,3.3,1002
11,35858,26,89991,3714,0,Sheet Metal Door,1.8,5.56,1002
200,10750,25,73616,45009,0,Sheet Metal Door,1.49,1.35,28
4,38136,2577,88022,861,0,Armored Door,16.7,18.49,1286
391,14592,10730,92096,11791,0,Wood Storage Box,1.49,2.34,476
494,5910,223,120003,2970,0,Double Barrel Shotgun,1.99,3.77,610
1268,14282,50,106990,7010,0,Python Revolver,1.99,1.25,547
128,9665,818,118710,279,0,LR-300,3.99,6.24,182
58,21353,3027,101002,4160,0,Semi-Automatic Pistol,2.99,1.16,491
36,20433,50,105350,3731,0,Python Revolver,2.97,3.5,841
12,9011,88,116490,3999,0,Crossbow,1.99,2.0,400
1252,20163,33,96605,11547,0,Furnace,2.99,1.23,533
0,7796,18,121653,133,0,Shorts,11.44,1.94,1260
3516,16436,20,98333,11295,0,Rock,1.99,1.69,427
3775,19944,46,102881,2954,0,Metal Chest Plate,0.99,1.03,1072
8951,4798,29,81966,33856,0,Sleeping Bag,4.89,167.91,1681
40,33246,37,87744,8533,0,Metal Chest Plate,0.99,0.71,224
485,28544,54,88682,11835,0,Metal Facemask,0.99,0.84,224
3015,23243,48,101979,1315,0,Sheet Metal Double Door,1.49,1.33,3
27,18972,47,95986,14568,0,Large Wood Box,1.49,1.62,350
2198,17049,50,102113,8190,0,Python Revolver,2.99,1.23,827
4486,23153,29,96911,5021,0,Rock,1.99,8.79,1213
1661,6833,57,119707,1342,0,Semi-Automatic Rifle,1.99,4.16,799
330,14006,42,113867,1355,0,Rocket Launcher,1.49,1.6,1178
79,21342,32,106538,1609,0,Waterpipe Shotgun,1.99,2.97,1134
1921,4959,43,119953,2724,0,Longsword,19.99,35.22,1295
2361,13767,102,101820,11550,0,Revolver,15.74,8.8,1280
6604,34443,18,82516,6019,0,Garage Door,2.99,5.14,581
602,25789,29,102191,989,0,Sheet Metal Double Door,1.99,9.94,218
2547,19051,38,92178,15786,0,Metal Facemask,4.99,2.72,1262
9417,15147,29,99781,5226,0,Boonie Hat,1.6,2.24,841
22,5904,32,122690,952,0,Hatchet,1.8,1.23,1043
4,16426,33,112088,1049,0,Metal Facemask,1.77,1.19,1170
29,13314,76,115116,1065,0,Custom SMG,4.12,3.23,1155
1073,7385,34,118749,2359,0,Bolt Action Rifle,1.99,2.62,1072
105,9199,83,119050,1163,0,Crossbow,1.99,2.15,694
662,1760,65,126562,551,0,Hunting Bow,3.99,5.29,322
9,6482,39,122514,556,0,Jacket,1.66,0.06,1786
29,6988,168,118217,4198,0,Assault Rifle,1.99,1.58,547
3,30636,48,96192,2721,0,Metal Chest Plate,0.99,1.2,540
127,8479,83,120382,529,0,Crossbow,1.99,2.31,722
1,27135,41,97250,5173,0,Metal Facemask,0.99,0.72,540
0,4528,47,124923,102,0,Hoodie,1.11,3.35,1051
2,4893,48,124594,63,0,Pants,1.17,3.58,1051
128,18935,29,109547,961,0,Wooden Door,1.49,1.59,455
568,18433,32,106975,3592,0,Furnace,1.49,2.9,848
329,11130,54,117318,769,0,LR-300,1.99,1.72,504
728,15153,56,111176,2487,0,MP5A4,1.99,3.44,476
57,9723,1653,114768,3399,0,LR-300,1.99,2.63,540
3752,5252,4953,112645,2998,0,Stone Hatchet,5.88,7.18,1274
597,9430,12481,102699,4393,0,Road Sign Jacket,1.99,1.5,153
1171,4901,23550,90641,9337,0,Coffee Can Helmet,1.99,1.53,153
497,6472,7029,112654,2948,0,Road Sign Kilt,1.99,2.58,153
9,18312,46,93606,17627,0,Large Wood Box,4.99,19.93,827
1737,12184,46,89127,26506,0,Large Wood Box,1.49,3.22,932
45,6477,41,122250,787,0,Semi-Automatic Rifle,1.99,4.27,252
1,4103,34,125441,21,0,Armored Door,10.0,31.7,1287
386,13725,46,111794,3649,0,Double Barrel Shotgun,3.43,4.58,1209
214,14909,32,110540,3905,0,Waterpipe Shotgun,1.99,3.19,812
2,17449,33,111822,294,0,Metal Facemask,24.56,2.93,1277
5626,14803,50,98815,10306,0,Python Revolver,6.15,2.16,792
259,12861,46,115829,605,0,Salvaged Icepick,5.0,3.31,1260
2,16165,31,111117,2285,0,Hide Skirt,4.99,11.35,1294
2772,11848,32,108885,6063,0,Furnace,1.49,1.76,694
1162,20873,32,103851,3682,0,Furnace,1.49,1.96,840
0,13737,31,113092,2740,0,Hatchet,1.99,1.32,1107
0,12980,32,114957,1631,0,Hatchet,2.3,1.35,1121
724,16136,30,111826,884,0,Burlap Shirt,1.02,1.04,840
32,19980,50,102701,6837,0,Python Revolver,1.47,3.46,799
2617,5157,51,120221,1554,0,Assault Rifle,2.99,3.65,224
12319,28001,23,80415,8842,0,Sheet Metal Double Door,1.99,6.36,224
146,14706,45,112996,1707,0,Eoka Pistol,1.7,13.52,1106
0,8799,27,120135,639,0,Bandana Mask,1.47,13.44,1120
577,9445,30,114899,4649,0,Stone Pickaxe,1.62,2.79,1156
3,11314,2580,112159,3544,0,Assault Rifle,1.99,1.95,1058
4779,42070,23,78028,4700,0,Armored Double Door,1.49,10.34,168
7,21138,26,107134,1295,0,Sheet Metal Door,1.49,1.74,1086
4695,10919,20,106664,7302,0,Baseball Cap,0.99,0.87,350
299,17028,38,110407,1828,0,Hoodie,0.99,0.6,350
9,22713,45,96044,10789,0,Pants,0.99,1.15,350
0,7636,34,121178,752,0,Metal Facemask,1.23,3.7,1142
2,33256,29,88939,7374,0,Sleeping Bag,9.99,6.27,1278
0,9973,43,117222,2362,0,LR-300,1.99,1.95,455
229,15196,57,113685,433,0,Road Sign Kilt,5.97,2.43,1175
319,18505,43,109488,1245,0,Road Sign Jacket,1.86,0.84,1170
520,29578,42,90964,8496,0,Leather Gloves,2.85,2.47,1058
3276,23315,35,97261,5713,0,Furnace,1.49,2.07,798
2374,24571,42,84527,18086,0,Leather Gloves,1.79,1.53,714
0,30083,33,99041,443,0,Burlap Trousers,0.99,6.03,714
124,37028,176,88541,3731,0,Burlap Shirt,0.99,1.71,713
374,21035,32,106035,2124,0,Waterpipe Shotgun,2.0,1.98,903
212,25544,65,94878,8901,0,Revolver,6.32,2.37,1093
57,20300,29,106609,2605,0,Rock,2.53,2.18,1051
26,4412,53,123467,1642,0,Coffee Can Helmet,1.26,1.5,1044
12,4193,56,125277,62,0,Road Sign Kilt,0.99,2.03,1093
309,6610,42,122542,97,0,Road Sign Jacket,0.99,1.04,1093
10899,25831,26,90784,2060,0,Sheet Metal Door,1.49,1.62,953
8785,6882,3543,104987,5403,0,Waterpipe Shotgun,4.99,7.41,841
6754,23136,28,97398,2284,0,Armored Door,1.49,4.94,1093
34,31407,43,88581,9535,0,Semi-Automatic Pistol,2.17,1.43,924
340,9815,42,114441,4962,0,Assault Rifle,1.99,1.43,848
11,9503,1954,99916,18216,0,Hammer,1.88,6.95,974
566,6021,25,122677,311,0,Improvised Balaclava,0.82,1.24,1265
1,6313,44,122471,771,0,Longsword,2.34,7.03,1184
255,17011,44,111574,716,0,Semi-Automatic Pistol,2.49,1.11,1237
189,10074,52,117402,1883,0,LR-300,1.99,1.52,953
25,29296,29,99036,1214,0,Armored Door,4.99,5.5,1286
9,29869,25,99317,380,0,Sheet Metal Door,2.4,3.2,1114
6,17383,47,98613,13551,0,Large Wood Box,1.49,3.01,603
41,33064,26,92821,3648,0,Sheet Metal Door,1.49,1.85,602
19460,14184,30134,50246,15576,0,Red Boomer,9.99,21.16,119
22,6081,34,121970,1493,0,Stone Hatchet,1.49,1.26,1201
120,24354,46,85341,19739,0,Large Wood Box,2.49,9.6,1296
111,27322,47,97677,4443,0,Large Wood Box,2.49,1.87,547
117,11708,45,115086,2644,0,Eoka Pistol,1.99,5.45,707
144,13334,42,114164,1916,0,Double Barrel Shotgun,1.99,11.98,706
73,18039,43,104488,6957,0,Semi-Automatic Pistol,2.02,1.05,1008
2123,12832,4018,108939,1688,0,Furnace,1.49,1.43,427
152,7848,30,117988,3582,0,Double Barrel Shotgun,1.98,3.81,826
2425,8315,45,116773,2042,0,Assault Rifle,2.99,4.06,680
1003,8637,47,118932,981,0,Salvaged Icepick,1.49,5.64,1233
1107,27656,72,92728,8037,0,Vending Machine,2.42,7.51,932
1774,19657,34,95485,12650,0,Longsleeve T-Shirt,4.99,1.14,1632
5,17438,32,111570,555,0,Boonie Hat,1.91,7.54,1099
1,20830,47,93388,15334,0,Large Wood Box,3.43,2.38,1051
1154,9972,32,116763,1679,0,Hatchet,1.99,1.38,1035
0,3599,41,125773,187,0,Pickaxe,1.99,1.79,1037
0,6081,47,123455,17,0,Hoodie,5.11,1.83,1148
3308,15030,5635,99835,5792,0,Reactive Target,0.99,4.1,1252
1377,25816,33,96028,6346,0,Metal Facemask,3.99,39.39,799
484,18137,33,110669,277,0,Burlap Trousers,1.82,2.21,778
1744,19122,30,107049,1655,0,Burlap Shirt,1.88,1.95,778
163,11258,27,114059,4093,0,Hide Halterneck,1.29,9.28,1231
774,24965,47,85768,18046,0,Large Wood Box,1.49,2.19,441
505,7586,21,112477,9011,0,Bone Club,1.99,5.65,1296
1,16317,57,105466,7759,0,Coffee Can Helmet,1.49,1.63,1233
26,31610,26,93230,4708,0,Sheet Metal Door,1.83,2.65,1114
1456,17610,46,89332,21156,0,Large Wood Box,1.49,3.04,848
859,45041,28,81327,2345,0,Wooden Door,1.59,5.19,980
5,2941,83,126344,227,0,Crossbow,1.99,8.85,995
3,12468,1047,112940,3142,0,Assault Rifle,2.26,1.76,1128
1,25941,47,102020,1591,0,Large Wood Box,1.49,1.72,1135
3442,49373,1149,61012,14624,0,Garage Door,1.49,11.49,659
7,19044,262,88948,21339,0,Large Wood Box,1.49,2.77,980
3,25392,41,103161,1003,0,Boots,0.99,3.43,182
272,29129,51,95520,4628,0,Leather Gloves,1.49,2.62,182
1,22901,47,101290,5361,0,Coffee Can Helmet,1.65,1.06,841
1,5327,38,124082,152,0,Hoodie,0.99,1.14,287
2,23052,300,105102,1144,0,Road Sign Kilt,0.99,2.33,841
94,11196,39,115712,2559,0,Pump Shotgun,1.99,2.35,840
1,3260,44,126252,43,0,Pants,0.99,0.82,287
17,27654,195,100009,1725,0,Road Sign Jacket,1.65,1.02,841
2,10472,46,118595,485,0,Metal Chest Plate,6.82,16.44,1149
0,7182,47,122257,114,0,Hoodie,0.92,0.92,1121
1,10026,51,118313,1209,0,Metal Facemask,2.99,3.46,1150
1287,26219,44,97992,4058,0,Semi-Automatic Pistol,3.11,1.07,1142
53,13760,76,113976,1735,0,Custom SMG,3.81,3.77,1135
9,20511,28,107585,1467,0,Sheet Metal Door,1.49,1.72,573
24,26225,35,100978,2338,0,Sheet Metal Door,2.29,3.42,910
41,21109,25,105213,3212,0,Sheet Metal Door,2.25,1.58,876
3586,3256,149,118843,3766,0,M249,1.99,1.93,105
14849,36835,2570,67796,7550,0,Garage Door,1.49,1.3,260
3488,9422,27,102674,13989,0,Sleeping Bag,1.49,1.47,105
202,6168,55,121886,1289,0,Semi-Automatic Rifle,1.99,1.77,132
8007,16729,42,98974,5848,0,Leather Gloves,2.59,2.15,764
3184,14435,47,110531,1403,0,Hoodie,1.16,0.94,764
174,21231,250,106819,1126,0,Pants,1.79,0.87,764
2628,8890,41,107565,10476,0,Coffee Can Helmet,0.99,1.07,119
673,13002,53,112053,3819,0,Road Sign Kilt,0.99,2.36,119
1655,11880,43,109895,6127,0,Road Sign Jacket,0.99,2.25,119
270,21216,32,106376,1706,0,Waterpipe Shotgun,1.99,1.27,966
358,13458,787,112880,2117,0,Hatchet,4.03,2.08,1023
3,20696,33,104928,3940,0,Metal Facemask,1.38,0.84,1247
2,13666,46,114092,1794,0,Metal Chest Plate,2.49,0.79,1250
315,8587,31,118175,2492,0,Hatchet,1.99,1.4,651
480,6237,42,120572,2269,0,Pickaxe,1.99,3.85,651
496,11918,138,114991,2057,0,Crossbow,2.31,2.17,1008
1156,4963,30,120174,3277,0,Double Barrel Shotgun,1.99,4.37,714
3012,19764,47,96952,9825,0,Coffee Can Helmet,1.4,0.96,939
7185,13310,33,105206,3866,0,Furnace,1.49,2.72,687
905,25963,56,101202,1474,0,Road Sign Kilt,2.21,2.45,939
77,4002,83,124889,549,0,Crossbow,1.99,1.78,252
548,30316,42,86156,12538,0,Leather Gloves,1.49,1.89,671
1,13825,57,114952,765,0,Hoodie,0.99,1.35,673
21,13712,54,114417,1396,0,Pants,0.99,2.52,671
2949,23561,57,95594,7439,0,Road Sign Jacket,2.21,0.92,939
77,26194,144,98584,4601,0,Armored Door,1.49,2.11,511
98,7721,83,120953,745,0,Crossbow,1.99,1.58,699
3197,6951,93,114637,4722,0,Assault Rifle,1.99,1.64,904
8,13653,56,114192,1691,0,Metal Facemask,0.99,0.72,218
1,24823,38,102303,2435,0,Hoodie,0.99,0.76,218
1,22629,43,105494,1433,0,Pants,0.99,0.61,218
1072,13079,65,113430,1954,0,Bone Club,1.12,2.01,1156
216,11314,83,116548,1439,0,Crossbow,1.99,1.59,939
1352,26882,33,95650,5683,0,Furnace,1.49,2.24,594
634,51363,19,73030,4554,0,Garage Door,1.49,1.58,132
814,9003,54,118439,1290,0,LR-300,2.99,1.55,477
1,10993,777,114970,2859,0,Assault Rifle,1.99,1.81,694
114,29748,46,97943,1749,0,Boots,0.99,2.18,640
412,32093,46,90791,6258,0,Leather Gloves,1.49,2.68,640
30,11154,51,117413,952,0,Hoodie,0.99,1.94,639
8,8403,45,120924,220,0,Pants,0.99,1.13,640
2,6810,33,122510,245,0,Metal Facemask,5.53,1.24,1233
1208,4059,33,121643,2657,0,Furnace,1.49,2.52,105
7543,6574,26,106988,8469,0,Improvised Balaclava,2.22,6.79,1205
76,37371,52,87330,4771,0,Bucket Helmet,2.49,0.52,1625
22,12156,35,112456,4931,0,Riot Helmet,1.29,3.57,1106
5481,25726,47,83161,15185,0,Large Wood Box,5.38,1.6,1177
1806,19962,32,93049,14751,0,Furnace,2.02,2.27,764
655,17553,37,84711,26644,0,Wood Storage Box,2.55,4.18,1156
177,11960,48,114830,2585,0,Stone Hatchet,2.25,1.86,840
618,11386,238,115049,2309,0,Stone Pickaxe,2.69,2.9,841
3892,21283,75,96101,8249,0,Sheet Metal Door,1.49,2.38,778
1053,6196,146,113930,8275,0,Assault Rifle,1.99,1.18,113
1,10477,54,118271,797,0,LR-300,1.99,5.47,938
16597,11665,42,84434,16862,0,Leather Gloves,1.49,1.9,1058
29,8695,56,119150,1670,0,Semi-Automatic Rifle,1.99,1.71,1072
2543,13486,39,94703,18829,0,Longsleeve T-Shirt,4.99,1.36,1631
61,32582,434,95380,1143,0,Metal Chest Plate,3.71,2.55,1260
1,39713,42,89751,93,0,Concrete Barricade,4.0,2.26,1254
9884,12484,50,99995,7187,0,Python Revolver,1.99,1.26,146
4,7231,83,120780,1502,0,Crossbow,1.99,2.2,378
15,8597,45,114778,6165,0,Salvaged Sword,3.62,1.65,1190
9,41531,26,84835,3199,0,Sheet Metal Door,2.49,1.83,1247
764,45381,28,79974,3453,0,Wooden Door,7.5,161.2,603
2555,9230,41,110232,7542,0,Coffee Can Helmet,2.49,1.17,217
61,12693,53,113672,3121,0,Road Sign Kilt,2.49,2.77,217
205,16400,42,110288,2665,0,Road Sign Jacket,2.49,1.04,217
1,2509,66,126770,254,0,Hunting Bow,1.99,2.4,371
7,7273,40,121752,528,0,M39 Rifle,1.99,11.3,386
0,11091,37,117089,1383,0,Pump Shotgun,1.99,2.19,454
25,20229,50,105798,3498,0,Python Revolver,1.99,1.41,680
55,14999,64,111470,3012,0,Revolver,1.99,2.73,638
0,7340,54,121302,904,0,Semi-Automatic Rifle,1.99,2.21,498
1,10218,75,118199,1107,0,Custom SMG,1.99,2.02,511
0,16711,48,112259,582,0,Boots,0.99,3.73,1016
17,20385,48,104497,4653,0,Coffee Can Helmet,0.99,3.32,939
2,11328,47,117537,686,0,Metal Chest Plate,0.99,7.55,974
2,9384,34,119234,946,0,Metal Facemask,1.75,13.36,1002
458,28035,42,95435,5630,0,Leather Gloves,3.03,3.28,974
147,21193,47,106856,1357,0,Hoodie,0.99,0.84,1016
112,1777,48,127663,0,0,Pants,0.99,2.21,1016
3,22155,57,106339,1046,0,Road Sign Kilt,0.99,7.96,974
1,26364,43,100261,2931,0,Road Sign Jacket,0.99,6.0,974
7,23053,47,104294,2199,0,Metal Facemask,0.99,1.21,1106
17,47457,25,79649,2452,0,Sheet Metal Door,3.04,1.69,1057
535,18940,32,107381,2712,0,Furnace,1.49,3.29,734
55,6830,29,122196,490,0,Rock,5.24,3.56,1281
1,22246,47,98524,8782,0,Large Wood Box,1.49,2.0,1100
419,6494,34,118534,4119,0,Stone Hatchet,3.19,2.21,939
676,9677,4227,103619,11401,0,Large Wood Box,2.99,3.63,231
59,22444,1470,103504,2123,0,Sheet Metal Door,2.49,3.0,246
122,6486,4915,114270,3807,0,Assault Rifle,1.99,4.66,659
1,12496,54,113314,3735,0,LR-300,2.98,4.94,861
4,14424,29,114830,313,0,Armored Door,1.49,4.53,1234
1,12826,42,116442,289,0,Concrete Barricade,5.96,5.94,1219
1,6664,30,121434,1471,0,Double Barrel Shotgun,5.0,4.27,946
3,49525,19,74559,5494,0,Garage Door,1.49,2.01,245
4,10540,42,116275,2739,0,Assault Rifle,2.49,1.07,1569
0,11669,55,116034,1842,0,MP5A4,9.99,23.57,1295
8,26339,57,103059,137,0,Road Sign Kilt,4.99,21.13,1287
105,33591,47,85630,10227,0,Large Wood Box,1.49,2.77,1232
698,39369,23,89064,446,0,Sheet Metal Double Door,2.49,3.93,231
557,18886,32,106162,3963,0,Furnace,1.49,7.08,805
0,5543,36,123315,706,0,Hatchet,7.49,1.58,1267
0,4202,42,124972,384,0,Pickaxe,1.58,3.31,1156
3,13324,38,113587,2648,0,Satchel Charge,7.24,1.51,1217
7,49121,25,77997,2450,0,Sheet Metal Door,1.49,3.41,1107
558,18378,32,107700,2932,0,Furnace,1.73,4.26,778
3480,16939,47,90219,18915,0,Large Wood Box,1.49,2.06,1072
1881,33643,18,86956,7102,0,Garage Door,1.49,1.67,476
2,13395,28,114332,1843,0,Burlap Headwrap,0.99,1.92,420
2,10162,38,118358,1040,0,Hoodie,0.99,1.01,420
52,6274,45,122997,232,0,Pants,0.99,0.75,420
13682,5977,47,109350,544,0,T-Shirt,2.49,1.99,1751
13,13012,38,115598,939,0,Pump Shotgun,1.99,2.12,1030
0,14267,32,110030,5271,0,Hatchet,2.87,1.95,1051
952,6696,55,120954,943,0,Semi-Automatic Rifle,1.99,2.34,694
5732,2683,28,120937,220,0,Armored Door,2.99,5.72,98
7605,10528,46,103996,7425,0,Large Wood Box,2.49,10.82,211
3407,19546,1319,96759,8569,0,Large Wood Box,1.49,2.47,491
2595,24057,1744,97234,3970,0,Sheet Metal Double Door,1.49,5.72,182
6298,12282,1302,104783,4935,0,Furnace,1.49,3.4,462
504,26292,8718,88912,5174,0,Garage Door,2.99,12.29,666
443,5251,41,122206,1659,0,Pickaxe,2.99,2.33,666
5948,32142,9392,75361,6757,0,Sleeping Bag,1.49,1.84,84
159,3861,2868,118016,4696,0,Assault Rifle,1.99,1.65,22
0,37333,29,86406,5832,0,Rock,2.99,2.07,505
3790,26663,19,78256,20872,0,Garage Door,1.49,1.67,287
5487,15089,48,89538,19438,0,Large Wood Box,1.49,1.95,294
3783,7490,64,109718,8545,0,Hammer,1.99,2.45,189
395,4504,82,120593,4026,0,Stone Hatchet,1.99,2.45,204
506,8743,44,119740,567,0,Stone Pickaxe,1.99,2.53,205
133,10504,226,116091,2646,0,Rock,2.49,1.82,148
191,14008,50,112161,3190,0,Python Revolver,0.99,3.77,699
1658,27704,83,95956,4199,0,Sheet Metal Door,1.49,2.22,365
2684,25018,2993,90305,8600,0,Furnace,2.35,6.11,855
6228,16146,6532,93120,7574,0,Metal Facemask,1.2,1.29,1128
1082,8573,920,115064,3961,0,Stone Hatchet,1.99,2.72,694
472,6142,544,114606,7836,0,Stone Pickaxe,1.99,4.16,694
1,8131,30,120446,992,0,Rock,1.99,1.68,1093
4876,14653,21,100004,10046,0,Rock,1.99,2.05,378
414,27499,42,94024,7621,0,Leather Gloves,2.99,2.29,1295
3630,8011,372,109560,8027,0,Furnace,1.49,1.28,162
59,33465,48,87475,8553,0,Boots,1.96,2.12,1058
14,11149,36,116202,2199,0,Chair,3.06,12.25,1142
14,24058,46,90836,14646,0,Large Wood Box,1.49,3.48,904
0,19731,28,105606,4235,0,Locker,10.24,12.39,1176
1,26728,30,93588,9253,0,Sleeping Bag,1.49,7.08,848
8,13147,39,114672,1734,0,Jacket,0.99,0.07,1421
320,26842,26,102055,357,0,Sheet Metal Door,1.49,1.57,217
3,13143,45,115251,1158,0,T-Shirt,2.49,1.46,1751
127,15874,22,112888,689,0,Improvised Balaclava,2.49,0.5,1751
1,13955,49,107150,8445,0,Hammer,1.99,4.18,994
3185,13275,34,97410,15696,0,Vending Machine,2.49,3.12,176
305,34032,26,93073,2164,0,Sheet Metal Door,1.49,1.59,175
1952,29065,248,88819,9516,0,Rock,1.99,2.72,904
0,12028,279,116103,1190,0,Thompson,1.99,5.82,434
610,7056,1941,112213,7780,0,Assault Rifle,3.96,7.72,792
1,16025,49,108985,4540,0,Hammer,1.99,2.92,400
4113,27385,70,94645,3387,0,Hide Boots,2.49,7.85,1301
1,8634,38,119331,1596,0,Pump Shotgun,7.49,2.62,1274
51,3503,88,125689,269,0,Hunting Bow,1.99,1.69,393
289,9017,38,115021,5235,0,Pump Shotgun,7.49,1.69,1272
3401,23828,47,94214,8110,0,Metal Chest Plate,2.49,1.22,526
5150,21440,36,97566,5408,0,Metal Facemask,2.49,1.28,526
3634,16025,2012,97789,10140,0,Python Revolver,1.99,1.15,827
4076,13949,1658,106388,3529,0,Revolver,1.99,2.79,735
0,65,21,129512,2,0,Improvised Balaclava,11.5,7.15,1206
567,11488,38,112355,5152,0,Stone Hatchet,1.99,1.53,22
1097,10990,29,114498,2986,0,Stone Pickaxe,1.99,1.66,22
3057,5308,54,119659,1522,0,Assault Rifle,1.99,6.96,974
271,3954,138,120440,4797,0,Chair,1.49,1.78,70
1362,24546,3686,94797,5209,0,Sheet Metal Door,1.49,11.69,687
2893,8007,573,116469,1658,0,Furnace,1.49,2.07,287
1712,7418,3003,113155,4312,0,Hammer,1.99,2.87,239
1799,9962,5073,104470,8296,0,Large Wood Box,2.49,7.75,322
3654,14093,48,107749,4056,0,Coffee Can Helmet,0.99,1.29,581
867,12005,53,115155,1520,0,Road Sign Kilt,0.99,3.19,581
742,13219,44,112498,3097,0,Road Sign Jacket,0.99,1.02,581
2,11835,43,102742,14978,0,Semi-Automatic Pistol,13.54,1.19,1218
229,9435,42,117388,2506,0,Assault Rifle,1.99,1.82,588
501,4071,24,125004,0,0,Improvised Balaclava,2.49,1.37,1702
1269,5173,175,121673,1310,0,Semi-Automatic Rifle,1.99,10.42,925
