red,green,blue,black,yellow,no match,skin_type,initial_price,curr_price,days_since_release
0,14995,1952,112249,404,0,Road Sign Jacket,0.99,1.84,350
0,6740,517,122181,162,0,Thompson,1.99,9.78,343
33,155,47,129363,2,0,Hoodie,5.99,1.37,1546
322,19459,38,104082,5699,0,Satchel Charge,2.34,1.23,1206
5383,17617,3247,95121,8232,0,Satchel Charge,0.99,0.96,153
3248,22848,37,93242,10225,0,Satchel Charge,1.13,2.49,1128
11,37849,48,88549,3143,0,Boots,0.99,2.87,707
1116,33886,42,87397,7159,0,Leather Gloves,0.99,1.92,707
1,29184,47,99365,1003,0,Hoodie,0.99,1.8,707
11,14444,47,113427,1671,0,Pants,0.99,1.72,707
2377,11130,54,114214,1825,0,LR-300,1.99,1.62,491
2620,2290,46,102197,22447,0,Eoka Pistol,11.0,47.48,1210
17966,17252,12,92583,1787,0,Garage Door,1.49,7.5,722
1150,8095,35,119102,1218,0,Burlap Headwrap,0.99,0.74,427
41885,6527,28,81031,129,0,Rug,1.49,6.2,462
3254,27386,26,97471,1463,0,Sheet Metal Door,1.49,5.2,700
491,14001,65,111160,3883,0,Revolver,2.19,4.16,1128
0,8650,54,119723,1173,0,Semi-Automatic Rifle,1.49,1.69,1205
2,12924,76,114761,1837,0,Custom SMG,1.49,3.26,1178
357,28427,29,91936,8851,0,Rock,1.99,3.65,1037
2,43486,30,83935,2147,0,Wooden Door,1.49,2.45,1016
883,29655,1348,91140,6574,0,Vending Machine,8.95,4.67,1196
6349,17347,12375,87707,5822,0,Semi-Automatic Pistol,2.65,1.38,1156
2,18032,45,85596,25925,0,T-Shirt,2.49,3.23,1701
5808,5609,4187,111693,2303,0,LR-300,1.99,2.06,3
2463,1622,15581,103999,5935,0,MP5A4,4.99,6.98,512
3322,2845,16634,91166,15633,0,Python Revolver,4.99,7.95,462
56,8860,45,118788,1851,0,Assault Rifle,2.99,3.11,715
482,6662,31,120760,1665,0,Assault Rifle,9.99,9.21,1282
22,13603,42,112833,3100,0,Rocket Launcher,1.39,3.9,1085
363,31783,29,92142,5283,0,Sleeping Bag,1.49,7.24,995
1138,12476,30,112704,3252,0,Bandana Mask,0.99,1.48,513
0,11382,32,115225,2961,0,Hatchet,1.99,1.34,959
1470,10131,42,115510,2447,0,Assault Rifle,1.99,2.43,622
764,6996,31,117671,4138,0,Bolt Action Rifle,1.99,3.14,573
1718,27242,33,95978,4629,0,Furnace,1.49,1.27,35
505,19251,160,105570,4114,0,Metal Chest Plate,0.99,0.87,512
1411,21422,37,102195,4535,0,Metal Facemask,0.99,0.87,512
167,5289,30,121524,2590,0,Double Barrel Shotgun,1.88,3.04,1191
0,32640,29,89165,7766,0,Rock,1.99,1.95,707
59,11133,420,112797,5191,0,Assault Rifle,1.99,2.32,988
